iter	Passed	Remaining
804	73732	17860
805	73824	17769
806	73913	17676
807	74002	17584
808	74092	17492
809	74180	17400
810	74266	17307
811	74359	17216
812	74447	17123
813	74528	17029
814	74615	16937
815	74704	16845
816	74786	16751
817	74880	16660
818	74970	16568
819	75059	16476
820	75150	16384
821	75238	16292
822	75329	16200
823	75412	16107
824	75507	16016
825	75594	15924
826	75680	15831
827	75768	15739
828	75862	15648
829	75950	15556
830	76040	15464
831	76131	15372
832	76224	15281
833	76328	15192
834	76419	15100
835	76506	15008
836	76597	14916
837	76685	14824
838	76774	14732
839	76868	14641
840	76959	14550
841	77046	14457
842	77139	14366
843	77229	14274
844	77318	14182
845	77404	14090
846	77496	13998
847	77585	13906
848	77679	13815
849	77771	13724
850	77861	13632
851	77955	13541
852	78048	13450
853	78136	13358
854	78227	13266
855	78314	13174
856	78407	13083
857	78497	12991
858	78583	12899
859	78667	12806
860	78757	12714
861	78844	12622
862	78930	12530
863	79023	12438
864	79110	12346
865	79202	12255
866	79291	12163
867	79382	12072
868	79469	11979
869	79559	11888
870	79649	11796
871	79738	11704
872	79826	11612
873	79915	11520
874	80002	11428
875	80095	11337
876	80184	11245
877	80271	11153
878	80361	11062
879	80446	10970
880	80533	10877
881	80625	10786
882	80717	10695
883	80804	10603
884	80894	10511
885	80982	10419
886	81076	10328
887	81166	10237
888	81255	10145
889	81345	10053
890	81439	9962
891	81544	9873
892	81633	9781
893	81718	9689
894	81807	9597
895	81893	9505
896	81981	9413
897	82071	9322
898	82159	9230
899	82252	9139
900	82336	9046
901	82433	8956
902	82520	8864
903	82600	8771
904	82693	8680
905	82785	8589
906	82873	8497
907	82956	8405
908	83043	8313
909	83132	8221
910	83223	8130
911	83305	8038
912	83398	7947
913	83484	7855
914	83578	7764
915	83666	7672
916	83759	7581
917	83848	7489
918	83935	7398
919	84017	7305
920	84111	7214
921	84197	7123
922	84282	7031
923	84378	6940
924	84469	6848
925	84557	6757
926	84648	6665
927	84739	6574
928	84834	6483
929	84937	6393
930	85029	6301
931	85119	6210
932	85211	6119
933	85293	6027
934	85387	5936
935	85476	5844
936	85563	5752
937	85657	5661
938	85754	5570
939	85848	5479
940	85937	5388
941	86032	5297
942	86126	5205
943	86208	5114
944	86273	5021
945	86375	4930
946	86467	4839
947	86557	4747
948	86648	4656
949	86729	4564
950	86824	4473
951	86915	4382
952	87004	4290
953	87094	4199
954	87194	4108
955	87295	4017
956	87393	3926
957	87478	3835
958	87568	3743
959	87656	3652
960	87750	3561
961	87832	3469
962	87919	3378
963	88008	3286
964	88102	3195
965	88184	3103
966	88270	3012
967	88355	2920
968	88445	2829
969	88540	2738
970	88631	2647
971	88719	2555
972	88810	2464
973	88905	2373
974	88992	2281
975	89081	2190
976	89164	2099
977	89250	2007
978	89335	1916
979	89424	1824
980	89512	1733
981	89602	1642
982	89687	1551
983	89776	1459
984	89875	1368
985	89964	1277
986	90056	1186
987	90143	1094
988	90259	1003
989	90352	912
990	90445	821
991	90539	730
992	90628	638
993	90710	547
994	90801	456
995	90891	365
996	90973	273
997	91059	182
998	91148	91
999	91247	0
